corr_threshold,selected_feature_count,removed_feature_count,val_accuracy,val_balanced_accuracy,val_macro_f1
0.8,233,551,0.2962962962962963,0.30438842203548083,0.27040697480949055
0.85,311,473,0.3333333333333333,0.3557422969187675,0.2972739541160594
0.9,397,387,0.3148148148148148,0.2861811391223155,0.25614572114203654
0.95,488,296,0.37037037037037035,0.31559290382819793,0.2878892444109835
0.98,548,236,0.3888888888888889,0.32539682539682535,0.2989417989417989
0.99,563,221,0.4074074074074074,0.3352007469654528,0.3097222222222222
