n_features,val_accuracy,val_balanced_accuracy,val_macro_f1
20,0.3888888888888889,0.35714285714285715,0.30251207729468593
30,0.46296296296296297,0.4561157796451914,0.38772486772486775
40,0.4444444444444444,0.38655462184873945,0.3427109974424553
50,0.5,0.4439775910364146,0.414044289044289
60,0.5185185185185185,0.453781512605042,0.4354175293305728
75,0.5,0.42997198879551823,0.3921080870159009
100,0.4444444444444444,0.34080298786181135,0.3116329535766876
125,0.4444444444444444,0.26330532212885155,0.25925925925925924
150,0.46296296296296297,0.3963585434173669,0.38238573021181715
200,0.4444444444444444,0.28104575163398693,0.25449010654490106
250,0.5740740740740741,0.5149393090569561,0.46618357487922707
300,0.3148148148148148,0.32072829131652664,0.21956406166932482
