feature,mean_abs_shap
ofi_std_roll_min_5,0.0013495576880020444
n_execution_lag_1,0.0013488845735196706
mid_mean_roll_max_15,0.0013466943121403757
ask_depth_mean_roll_mean_5,0.0013317496066519551
trade_volume_lag_15,0.0013235825738247922
relative_spread_mean_roll_std_5,0.0013184363446553113
relative_spread_mean_roll_std_10,0.001314635271993415
imbalance_3_mean_roll_mean_30,0.001308008165427341
trade_volume_lag_30,0.0013038667797827318
event_size_total_lag_10,0.00129302534386643
imbalance_5_mean_roll_std_3,0.0012919998360268014
ofi_sum_roll_mean_3,0.0012916569655268256
n_full_deletion_roll_max_5,0.001289449427501761
ofi_std_roll_mean_10,0.0012892591556465762
mid_log_return_1m_roll_std_30,0.001281168829513895
price_change_roll_max_15,0.001279077081347538
ofi_std_roll_std_5,0.0012728953810829714
event_count_lag_15,0.0012723250452604065
mid_close_roll_mean_30,0.0012698363015388446
imbalance_3_mean_roll_mean_3,0.0012651384167098535
n_new_order_roll_std_15,0.0012551020005317963
spread_std_lag_5,0.0012467514952171149
relative_spread_mean_roll_std_30,0.0012461486931735024
n_full_deletion_lag_10,0.0012431063108020942
mid_return_1m_roll_min_10,0.0012425268832137635
n_full_deletion,0.001239839099486494
ofi_std_roll_mean_5,0.0012355531008233789
depth_imbalance_roll_min_15,0.0012305164588912222
bid_depth_mean_roll_max_15,0.0012251670845343657
mid_close_lag_5,0.0012203284223694499
spread_std_roll_max_30,0.0012135926946288537
imbalance_1_mean_roll_max_5,0.0012126913835810646
ask_depth_mean_roll_max_10,0.0012063134518077992
spread_mean,0.0012057312358431196
spread_mean_roll_max_15,0.0012021899296329995
imbalance_10_mean_roll_max_5,0.0011923003497803588
n_partial_cancel_roll_max_10,0.00118930664663541
mid_open_lag_2,0.0011875405830713754
n_new_order_roll_mean_3,0.0011838705118285293
spread_std_roll_min_30,0.0011834745855720185
mid_mean_roll_mean_5,0.0011732125735868018
imbalance_5_mean_roll_max_10,0.0011728560572918224
n_full_deletion_roll_std_30,0.0011639079071176356
n_new_order_lag_15,0.0011635209999585605
n_full_deletion_roll_std_5,0.0011633966440385383
ofi_std_lag_3,0.0011554626433454946
mid_close_roll_std_15,0.0011528508343820684
mid_open_roll_mean_3,0.0011498414371632665
execution_ratio_roll_max_3,0.0011483898054300762
n_partial_cancel_roll_min_10,0.0011376145315616522
spread_max_lag_10,0.001137248664804209
event_size_total_roll_mean_5,0.0011364002058949579
ofi_mean_roll_mean_3,0.0011362187210077128
ofi_mean_lag_1,0.001134632175637459
event_count_roll_min_15,0.0011343235872648856
depth_imbalance_roll_std_15,0.0011301940306678827
ofi_sum_roll_min_15,0.0011273124365508594
ofi_std_roll_max_30,0.001122971081351064
n_execution_roll_min_15,0.00111933671058512
n_full_deletion_roll_mean_5,0.0011166471894338249
imbalance_10_mean_lag_1,0.0011127295875605504
imbalance_5_mean_lag_15,0.0011117847288309043
n_partial_cancel_lag_1,0.0011091282626357617
ofi_sum_roll_min_10,0.001108048333872379
n_new_order_roll_min_15,0.0010962019067560966
ask_depth_mean_roll_max_15,0.0010952039610231242
imbalance_10_mean_roll_mean_30,0.0010934544691642075
trade_volume_roll_std_10,0.0010930474167194905
event_size_total_lag_15,0.0010882700209897797
imbalance_3_mean,0.001085030476175203
spread_mean_roll_std_3,0.0010834837225652597
imbalance_3_mean_roll_max_15,0.001079564813993403
mid_log_return_1m_roll_std_10,0.0010771254123298631
mid_close_roll_min_30,0.001071550307491751
event_count_roll_max_3,0.0010692441651414665
ofi_std_lag_15,0.0010651108885964622
bid_depth_mean_lag_2,0.001058127433498265
n_partial_cancel_roll_std_5,0.0010553564594723817
imbalance_10_mean_roll_std_3,0.001052145170920046
execution_ratio_lag_5,0.0010480647707423259
mid_return_1m_roll_max_10,0.0010455961153075185
n_new_order_roll_max_15,0.00104505513980554
imbalance_10_mean_roll_mean_15,0.0010439835804122565
n_partial_cancel_roll_min_30,0.0010415790063636446
ofi_sum_roll_min_3,0.001029855636354655
imbalance_3_mean_roll_mean_15,0.0010237770459542508
depth_imbalance_roll_min_3,0.0010220481905811693
depth_imbalance_lag_15,0.0010149892325677378
ofi_std_roll_max_3,0.0010146136380829094
depth_imbalance,0.001009588643622953
ofi_mean_roll_mean_10,0.0010067664277826189
ofi_mean_lag_2,0.0010053198199015563
mid_return_1m_roll_max_3,0.0010046684689022467
imbalance_10_mean_roll_max_30,0.0010037359662836978
mid_close_lag_15,0.0010011045960076422
imbalance_5_mean_roll_std_5,0.0009968499341263253
n_new_order_roll_mean_5,0.000995971459192595
spread_mean_roll_mean_10,0.0009948815240977114
n_partial_cancel_roll_min_5,0.0009941250147988303
ofi_sum_roll_mean_10,0.0009932955169378128
imbalance_1_mean_roll_mean_5,0.0009924370823188248
event_size_total_roll_std_15,0.0009875544671479248
execution_ratio,0.0009859179765202629
ofi_std_roll_mean_15,0.0009855917957640788
spread_mean_roll_std_10,0.0009833453761667755
mid_return_1m_roll_std_15,0.0009774128755898933
imbalance_5_mean,0.0009748792812765378
spread_max_lag_15,0.0009723242684614645
ofi_mean_roll_max_10,0.0009722144309745468
price_change_roll_min_10,0.0009692575726269135
trade_volume_roll_mean_5,0.0009675757836233018
relative_spread_mean,0.0009673869936316045
spread_max_roll_std_30,0.0009657575582220991
n_partial_cancel_roll_max_15,0.0009636063877391367
n_partial_cancel_roll_max_3,0.0009580353746245873
depth_imbalance_roll_max_5,0.0009539832549760219
trade_volume,0.0009496326486542149
relative_spread_mean_lag_3,0.0009452224396376542
price_change_roll_min_3,0.000942201665507162
trade_volume_roll_mean_30,0.0009418431910684353
bid_depth_mean_roll_mean_5,0.0009351325067846313
n_new_order_roll_std_30,0.0009322611890440663
ofi_mean_roll_min_5,0.000928524283960106
imbalance_5_mean_roll_std_10,0.0009281695725890882
mid_log_return_1m_roll_mean_10,0.0009274802650846346
imbalance_1_mean_roll_std_10,0.0009273540915320479
event_count_roll_min_30,0.0009273311696864596
bid_depth_mean_lag_15,0.0009192236232283288
mid_open_roll_min_15,0.0009189680306734571
execution_ratio_roll_std_3,0.0009169314420246579
ask_depth_mean_roll_min_3,0.0009125372122147656
imbalance_5_mean_lag_3,0.0009121725423980069
n_full_deletion_roll_std_10,0.0009086891600215121
ofi_sum_lag_5,0.000900426206647604
relative_spread_mean_roll_std_3,0.0008994951769954706
n_new_order_roll_max_5,0.0008981504235449925
ofi_sum_lag_10,0.0008961653420492014
spread_max_roll_mean_15,0.0008958658531719299
n_execution_roll_max_15,0.0008943526334408186
n_execution,0.00088862302578546
mid_log_return_1m_roll_min_10,0.0008867224590309721
imbalance_10_mean_roll_mean_10,0.0008855608015251259
spread_std_roll_std_10,0.0008776665865389943
mid_mean_roll_mean_30,0.0008744229266923057
