minute,mid_open,mid_close,mid_mean,spread_mean,spread_std,spread_max,relative_spread_mean,ask_depth_mean,bid_depth_mean,imbalance_1_mean,imbalance_3_mean,imbalance_5_mean,imbalance_10_mean,ofi_sum,ofi_mean,ofi_std,event_count,event_size_total,trade_volume,n_new_order,n_partial_cancel,n_full_deletion,n_execution,price_change,depth_imbalance,execution_ratio,mid_return_1m,mid_log_return_1m,hour,minute_of_hour,clock,mid_ma10
580,30.935000000000002,30.965,30.932940090274926,0.01246204349610197,0.004308874021110179,0.020000000000003126,0.0004028749102349035,22979.690603200655,28069.760771440295,0.045960832563657565,0.0754111680659202,0.10211877333708884,0.1261920063780876,44457.0,18.242511284366024,302.9787175944897,2437,803061,30004,1207,23,1048,159,0.029999999999997584,0.099708616472383,0.06524415264669675,0.029999999999997584,0.0009693054070720741,9,40,09:40,31.021499999999996
581,30.965,30.975,30.975855565777366,0.01528978840846344,0.004992743620951118,0.019999999999999574,0.000493616610391706,20684.141674333026,29085.39512419503,0.13698014560575505,0.1791758861327632,0.17594052020113154,0.30101775607935677,-4627.0,-2.1283348666053357,304.0046694080413,2174,649968,17587,1077,12,999,86,0.010000000000001563,0.1688031271794049,0.03955841766329347,0.010000000000001563,0.00032289312518196667,9,41,09:41,31.0115
582,30.975,30.994999999999997,30.98823690955694,0.015155620651776013,0.004998492857943897,0.020000000000003126,0.0004890834156639115,27013.675942878068,29265.48553643354,0.03732324876835134,-0.008186146833660384,0.040944787914828175,0.047822570552117576,24966.0,9.141706334675943,545.8335280573372,2731,1338645,23533,1336,30,1240,125,0.01999999999999602,0.04001142757578657,0.045770779934090074,0.01999999999999602,0.0006454736386767301,9,42,09:42,31.005499999999994
583,30.994999999999997,30.985,30.97969465648855,0.011515812431842895,0.0035881021122972766,0.019999999999999574,0.0003717200597523311,61494.71973827699,24177.994547437294,-0.1946486609895041,-0.43848947997482934,-0.4236717094589088,-0.1560977038913083,-44707.0,-48.75354416575791,1072.0294899874814,917,378633,8584,444,5,417,51,-0.00999999999999801,-0.43557304682083786,0.05561613958560523,-0.00999999999999801,-0.000322684739812118,9,43,09:43,30.997999999999998
584,30.985,30.994999999999997,30.987854729729733,0.012432432432432288,0.004292220507463936,0.019999999999999574,0.00040120588890801124,64765.87837837838,29591.923986486487,-0.24121260292135974,-0.4866988963108421,-0.3740893598226514,-0.12130189310134161,14337.0,12.108952702702704,432.50922030746756,1184,432357,10711,584,3,545,52,0.00999999999999801,-0.3727720814849042,0.04391891891891892,0.00999999999999801,0.000322684739812118,9,44,09:44,30.996999999999996
585,30.994999999999997,30.955,30.972668405041286,0.01366362451108187,0.0048191486426354705,0.019999999999999574,0.00044117889802711314,84815.2564102564,43651.246849196,-0.2964566019096431,-0.39412843643682005,-0.3269947332940594,-0.1456305222733512,-83485.0,-36.282051282051285,433.0167091608435,2301,889397,21391,1207,7,987,100,-0.03999999999999915,-0.320426013915278,0.0434593654932638,-0.03999999999999915,-0.0012913641826872713,9,45,09:45,30.986999999999995
586,30.955,30.945,30.958621190130625,0.01448476052249623,0.004974585456392242,0.019999999999999574,0.0004678898498789828,90929.40832123852,53779.614900822446,-0.2300210987474165,-0.17170443072482106,-0.2569168737652879,-0.15755902726394355,-30316.0,-14.666666666666666,536.4929578029748,2067,771714,11497,1031,17,965,54,-0.00999999999999801,-0.2567206425228124,0.026124818577648767,-0.00999999999999801,-0.00032310177987060484,9,46,09:46,30.976999999999997
587,30.945,30.955,30.953545034642033,0.010138568129331298,0.0011703176130309204,0.019999999999999574,0.0003275419379540963,89237.34180138569,55198.66743648961,0.2844060877001893,-0.15644930001232996,-0.23047512461924488,-0.16626386388824455,33900.0,78.29099307159353,735.7272028264774,433,201812,10900,216,3,179,35,0.00999999999999801,-0.23566612331996054,0.08083140877598152,0.00999999999999801,0.00032310177987060484,9,47,09:47,30.97
588,30.955,30.945,30.94435241670577,0.013613327076489629,0.0048049945411402445,0.019999999999999574,0.00043992799315446606,59691.96809009855,53128.980760206476,0.00988456384633637,0.058193147158598586,-0.04455452858867369,-0.17260769997567715,-29736.0,-13.954012200844673,565.6311209792823,2131,882787,31582,1032,14,958,127,-0.00999999999999801,-0.05817170832874385,0.059596433599249175,-0.00999999999999801,-0.00032310177987060484,9,48,09:48,30.964999999999996
589,30.945,30.925,30.941823472356937,0.011871968962172116,0.0039025881259222737,0.019999999999999574,0.00038368096689937254,54483.54413191076,54025.07953443259,0.13793589675599116,0.11561198407824329,0.010647556211922133,-0.1490848317701313,-61424.0,-59.57710960232784,491.8896608649266,1031,445679,22834,501,9,439,82,-0.019999999999999574,-0.0042251443432544285,0.07953443258971872,-0.019999999999999574,-0.0006465169127731762,9,49,09:49,30.964
590,30.925,30.905,30.91441775456919,0.011707571801566842,0.0037639493399467634,0.020000000000003126,0.00037870380243908706,51874.08720626632,57375.945691906,0.07374001206899522,0.06934930981400546,0.05051808268597748,-0.18002909161256633,-61769.0,-32.255352480417756,556.291573362256,1915,926708,34922,949,15,825,126,-0.019999999999999574,0.05036024557326908,0.06579634464751959,-0.019999999999999574,-0.0006469351673148438,9,50,09:50,30.958
591,30.905,30.884999999999998,30.88325493171472,0.012225594334850508,0.004160700616332857,0.019999999999999574,0.00039586205189202754,60510.32675771371,53472.41527567021,-0.09394762300057838,-0.037682855629993316,-0.06286617851951389,-0.13569032674027975,-16087.0,-8.137076378351036,601.9102930980656,1977,1010229,33600,974,13,864,126,-0.020000000000003126,-0.061745413002805234,0.0637329286798179,-0.020000000000003126,-0.0006473539633744529,9,51,09:51,30.948999999999995
592,30.884999999999998,30.905,30.887535211267604,0.011197183098591584,0.0032474621448503366,0.019999999999999574,0.00036251281282093903,53816.87746478873,54912.185211267606,0.1765140202890995,0.05866881414896175,0.009989810569870973,-0.05542797541545648,30262.0,21.3112676056338,497.8306062180879,1420,633294,18622,686,10,632,92,0.020000000000003126,0.010073734837043482,0.0647887323943662,0.020000000000003126,0.0006473539633744529,9,52,09:52,30.940000000000005
593,30.905,30.905,30.899785115303985,0.01126834381551331,0.0033296190542477194,0.019999999999999574,0.00036467357883853823,53327.587002096436,54138.71488469602,0.17691530582267495,0.029105581357619252,0.009200332293966515,-0.09301813686073723,3212.0,3.3668763102725365,492.7219423567864,954,469649,5837,467,7,443,37,0.0,0.007547741648857002,0.03878406708595388,0.0,0.0,9,53,09:53,30.932
594,30.905,30.925,30.918585896474116,0.01226556639159796,0.004187604106309785,0.020000000000003126,0.00039670610337030237,49125.68567141786,60167.958739684924,0.1379640593529744,0.11980055750825744,0.10015702901298616,-0.04191773954220326,60205.0,45.16504126031508,567.7509576549472,1333,683550,11633,646,8,628,51,0.019999999999999574,0.10103307587339742,0.03825956489122281,0.019999999999999574,0.0006469351673148438,9,54,09:54,30.925
